genres,title
"['Animation', 'Comedy', 'Family']",Toy Story
"['Adventure', 'Fantasy', 'Family']",Jumanji
"['Romance', 'Comedy']",Grumpier Old Men
"['Comedy', 'Drama', 'Romance']",Waiting to Exhale
['Comedy'],Father of the Bride Part II
"['Action', 'Crime', 'Drama', 'Thriller']",Heat
"['Comedy', 'Romance']",Sabrina
"['Action', 'Adventure', 'Drama', 'Family']",Tom and Huck
"['Action', 'Adventure', 'Thriller']",Sudden Death
"['Adventure', 'Action', 'Thriller']",GoldenEye
"['Comedy', 'Drama', 'Romance']",The American President
"['Comedy', 'Horror']",Dracula: Dead and Loving It
"['Family', 'Animation', 'Adventure']",Balto
"['History', 'Drama']",Nixon
"['Action', 'Adventure']",Cutthroat Island
"['Drama', 'Crime']",Casino
"['Drama', 'Romance']",Sense and Sensibility
"['Crime', 'Comedy']",Four Rooms
"['Crime', 'Comedy', 'Adventure']",Ace Ventura: When Nature Calls
"['Action', 'Comedy', 'Crime']",Money Train
"['Comedy', 'Thriller', 'Crime']",Get Shorty
"['Drama', 'Thriller']",Copycat
"['Action', 'Adventure', 'Crime', 'Thriller']",Assassins
"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",Powder
"['Drama', 'Romance']",Leaving Las Vegas
['Drama'],Othello
"['Comedy', 'Drama', 'Family']",Now and Then
"['Drama', 'Romance']",Persuasion
"['Fantasy', 'Science Fiction', 'Adventure']",The City of Lost Children
"['Drama', 'Crime']",Shanghai Triad
"['Drama', 'Crime']",Dangerous Minds
"['Science Fiction', 'Thriller', 'Mystery']",Twelve Monkeys
"['Romance', 'Adventure']",Wings of Courage
"['Fantasy', 'Drama', 'Comedy', 'Family']",Babe
"['History', 'Drama', 'Romance']",Carrington
['Drama'],Dead Man Walking
"['Adventure', 'History', 'Drama', 'Family']",Across the Sea of Time
"['Comedy', 'Family', 'Romance']",It Takes Two
"['Comedy', 'Drama', 'Romance']",Clueless
['Drama'],"Cry, the Beloved Country"
"['Drama', 'War']",Richard III
"['Action', 'Crime', 'Drama', 'History']",Dead Presidents
"['Drama', 'Romance']",Restoration
"['Action', 'Fantasy']",Mortal Kombat
"['Fantasy', 'Drama', 'Comedy', 'Thriller']",To Die For
"['Drama', 'Romance']",How To Make An American Quilt
"['Crime', 'Mystery', 'Thriller']",Se7en
"['Adventure', 'Animation', 'Drama', 'Family']",Pocahontas
"['Drama', 'Romance']",When Night Is Falling
"['Drama', 'Crime', 'Thriller']",The Usual Suspects
"['Comedy', 'Romance']",Mighty Aphrodite
"['Drama', 'Foreign']",Lamerica
"['Action', 'Adventure', 'Comedy', 'Family']",The Big Green
['Drama'],Georgia
"['Comedy', 'Drama', 'Romance']",Home for the Holidays
"['Comedy', 'Drama', 'Romance']",The Postman
"['Thriller', 'Drama', 'Mystery']",The Confessional
"['Adventure', 'Family', 'Fantasy']",The Indian in the Cupboard
"['Drama', 'Thriller']",Eye for an Eye
"['Music', 'Drama', 'Family']",Mr. Holland's Opus
['Comedy'],Don't Be a Menace to South Central While Drinking Your Juice in the Hood
